ID,NAME,TOTPOP_CY
0101,Aba South,607890
0102,Ukwa East,82686
0103,Umuahia South,197772
0104,Arochukwu,240840
0105,Bende,273951
0106,Aba North,151958
0107,Ikwuano,196121
0108,Ohafia,349849
0109,Isuikwuato,164684
0110,Obioma Ngwa,258693
0111,Umu-Nneochi,231994
0112,Ukwa West,124257
0113,Isiala Ngwa North,219142
0114,Isiala Ngwa South,194347
0115,Osisioma Ngwa,313833
0116,Ugwunagbo,121417
0117,Umuahia North,317347
0201,Abaji,174111
0202,Bwari,680720
0203,Abuja Municipal,2304848
0204,Gwagwalada,470941
0205,Kuje,288685
0206,Kwali,255852
0301,Demsa,257381
0302,Fufore,306313
0303,Ganye,245461
0304,Mubi South,190036
0305,Girei,201357
0306,Gombi,214540
0307,Madagali,156099
0308,Guyuk,254764
0309,Hong,246742
0310,Jada,243427
0311,Yola South,295978
0312,Lamurde,160906
0313,Maiha,170758
0314,Mayo-Belwa,220702
0315,Michika,229308
0316,Mubi North,226135
0317,Numan,133213
0318,Shelleng,214803
0319,Song,283178
0320,Toungo,75678
0321,Yola North,296436
0401,Abak,213855
0402,Onna,189440
0403,Essien Udim,297181
0404,Nsit Ibom,166224
0405,Eket,265811
0406,Mbo,157117
0407,Etinan,259764
0408,Udung Uko,81594
0409,Ikono,202479
0410,Uruan,180177
0411,Ikot Abasi,203920
0412,Ukanafun,192946
0413,Nsit Ubium,195423
0414,Ikot Ekpene,217450
0415,Oruk Anam,264246
0416,Itu,196611
0417,Mkpat Enin,272635
0418,Obat Akara,226489
0419,Ibesikpo Asutan,210867
0420,Ini,152366
0421,Nsit Atai,112864
0422,Ibiono Ibom,290026
0423,Okobo,158009
0424,Eastern Obolo,92220
0425,Oron,134106
0426,Ibeno,115084
0427,Esit Eket,97428
0428,Ika,111904
0429,Urue Offong/Oruk,108783
0430,Etim Ekpo,162885
0431,Uyo,470491
0501,Njikoka,213419
0502,Awka North,161355
0503,Aguata,532088
0504,Orumba North,248478
0505,Ayamelum,227452
0506,Ogbaru,321172
0507,Awka South,272758
0508,Onisha South,197305
0509,Ihiala,434730
0510,Aniocha,408754
0511,Nnewi North,223556
0512,Oyi,241904
0513,Anambra West,240613
0514,Idemili North,619866
0515,Idemili South,297440
0516,Onisha North,181093
0517,Anambra East,218818
0518,Ekwusigwo,227851
0519,Dunukofia,138808
0520,Nnewi South,335618
0521,Orumba South,265416
0601,Alkaleri,504821
0602,Katagum,450592
0603,Bauchi,759236
0604,Bogoro,128877
0605,Damban,230990
0606,Darazo,384355
0607,Dass,138574
0608,Gamawa,437354
0609,Giade,239925
0610,I/Gadau,351419
0611,Jama'Are,180658
0612,Ganjuwa,428219
0613,Zaki,291716
0614,Kirfi,223952
0615,Misau,401985
0616,Ningi,593568
0617,Tafawa Balewa,340320
0618,Toro,532061
0619,Warji,176816
0620,Shira,359833
0701,Brass,267779
0702,Ekermor,392067
0703,Kolokuma/Opokuma,115279
0704,Nembe,190467
0705,Ogbia,261206
0706,Southern Ijaw,468014
0707,Sagbama,271768
0708,Yenagoa,512334
0801,Kwande,365654
0802,Gwer East,248032
0803,Buruku,303262
0804,Guma,285539
0805,Gboko,531367
0806,Ohimini,103955
0807,Ado,271161
0808,Katsina Ala,331579
0809,Ushongo,282264
0810,Makurdi,441736
0811,Gwer West,179873
0812,Agatu,169999
0813,Obi,145158
0814,Oju,247784
0815,Okpokwu,258230
0816,Ogbadibo,192630
0817,Otukpo,391784
0818,Konshisha,333080
0819,Logo,249369
0820,Apa,142325
0821,Vandeikya,344956
0822,Tarka,116736
0823,Ukum,319096
0901,Askira Uba,225567
0902,Hawul,187870
0903,Bama,193340
0904,Kaga,138856
0905,Bayo,126685
0906,Biu,313304
0907,Chibok,113518
0908,Mobbar,177556
0909,Damboa,319806
0910,Dikwa,159772
0911,Nganzai,147800
0912,Ngala,375462
0913,Gubio,240449
0914,Guzamala,151380
0915,Gwoza,304031
0916,Jere,327897
0917,Konduga,173810
0918,Kukawa,238173
0919,Kwaya Kusar,92395
0920,Mafa,30684
0921,Magumeri,232698
0922,Maiduguri Metro,1433150
0923,Abadan,156108
0924,Marte,90429
0925,Monguno,205394
0926,Kala Balge,96731
0927,Shani,161265
1001,Bakassi,46015
1002,Bekwara,153427
1003,Akamkpa,217719
1004,Biase,244488
1005,Calabar South,278523
1006,Boki,271394
1007,Calabar Municipal,267133
1008,Etung,116399
1009,Ikom,238059
1010,Akpabuyo,395957
1011,Abi,209882
1012,Obubra,250936
1013,Obudu,234811
1014,Odukpani,280516
1015,Ogaja,249521
1016,Yala,307670
1017,Obanliku,159442
1018,Yakurr,285441
1101,Ndokwa East,155228
1102,Ika South,251228
1103,Oshimili North,178262
1104,Oshimili South,225620
1105,Bomadi,129353
1106,Burutu,312759
1107,Uvwie,283812
1108,Ethiope East,302181
1109,Aniocha North,156490
1110,Warri North,204742
1111,Ndokwa West,225637
1112,Ukwuani,179007
1113,Warri South West,175253
1114,Ethiope West,304843
1115,Aniocha South,213608
1116,Isoko South,353620
1117,Okpe,193087
1118,Udu,214251
1119,Ughelli South,319769
1120,Ika North East,274926
1121,Isoko North,215887
1122,Patani,101345
1123,Sapele,262073
1124,Ughelli North,482257
1125,Warri South,469146
1201,Abakaliki,215283
1202,Afikpo North,225302
1203,Ezza North,210199
1204,Ikwo,309181
1205,Ishielu,219452
1206,Ohaukwu,281259
1207,Izzi,340245
1208,Ivo,174553
1209,Onicha,340306
1210,Afikpo South,226584
1211,Ohaozara,213319
1212,Ezza South,192187
1213,Ebonyi,182985
1301,Orhionwon,261614
1302,Owan East,219863
1303,Etsako East,209490
1304,Etsako West,282916
1305,Oredo,532508
1306,Uhunmwode,173110
1307,Esan West,181598
1308,Etsako Central,133979
1309,Ikpoba Okha,529922
1310,Akoko Edo,372001
1311,Igueben,99923
1312,Ovia South West,196320
1313,Esan Central,149639
1314,Ovia North East,220878
1315,Owan West,140844
1316,Esan South East,236468
1317,Esan North East,173671
1318,Egor,483842
1401,Ado Ekiti,466380
1402,Ekiti West,267020
1403,Efon,129628
1404,Emure,140147
1405,Ido-Osi,237880
1406,Irepodun/Ifelodun,196179
1407,Ijero,329870
1408,Ikere,220869
1409,Ikole,253363
1410,Ekiti South West,245443
1411,Ise/Orun,169417
1412,Ilejemeji,64611
1413,Aiyekire,220038
1414,Ekiti East,205679
1415,Moba,216186
1416,Oye,204870
1501,Igbo Eze South,216720
1502,Nkanu West,216749
1503,Ezeagu,250895
1504,Nkanu East,225877
1505,Agwu,290147
1506,Enugu North,356102
1507,Igbo Eze North,380643
1508,Isi Uzo,218532
1509,Aninri,200331
1510,Enugu East,407542
1511,Nsukka,455086
1512,Udenu,262784
1513,Igbo Etiti,306380
1514,Oji River,189333
1515,Udi,350461
1516,Uzo Uwani,186991
1517,Enugu South,291233
1601,Funakaye,357438
1602,Billiri,304794
1603,Shomgom,226998
1604,Yamaltu/Deba,384567
1605,Dukku,312283
1606,Gombe,401285
1607,Kaltungo,241202
1608,Akko,507443
1609,Kwami,291734
1610,Nafada,210815
1611,Balanga,318043
1701,Aboh Mbaise,292912
1702,Ahiazu Mbaise,256888
1703,Nkwangele,192025
1704,Orsu,180795
1705,Ideato South,240092
1706,Ohaji/Egbema,275037
1707,Ehime Mbano,196361
1708,Ikeduru,225179
1709,Ihitte Uboma,179583
1710,Ezinihitte Mbaise,253796
1711,Oru West,173999
1712,Nkwerre,120713
1713,Njaba,215776
1714,Mbaitoli,357118
1715,Oguta,214055
1716,Okigwe,199558
1717,Onuimo,149430
1718,Owerri West,153019
1719,Orlu,214734
1720,Obowo,176598
1721,Owerri North,265175
1722,Owerri Municipal,188483
1723,Isiala Mbano,297637
1724,Oru East,168044
1725,Isu,247122
1726,Ngor/Okpala,237390
1727,Ideato North,234838
1801,Auyo,192361
1802,Babura,309704
1803,Birniwa,206536
1804,Birnin Kudu,456813
1805,Dutse,365231
1806,Gagarawa,119476
1807,Buji,141482
1808,Garki,218529
1809,Gumel,154698
1810,Guri,164866
1811,Gwaram,394656
1812,Gwiwa,187215
1813,Hadejia,151666
1814,Jahun,334323
1815,Kafin Hausa,388717
1816,Yankwashi,139095
1817,Kaugama,187580
1818,Kazaure,234378
1819,Kiri-Kasamma,280079
1820,Kiyawa,251527
1821,Maigatari,257497
1822,Malam Madori,239658
1823,Miga,185972
1824,Ringim,279822
1825,Roni,112585
1826,Sule Takarkar,196062
1827,Taura,191771
1901,Kubau,412815
1902,Birnin Gwari,380277
1903,Kaduna North,536159
1904,Giwa,429991
1905,Sanga,222778
1906,Kudan,204355
1907,Ikara,286367
1908,Kachia,371435
1909,Jema'A,409136
1910,Kagarko,351568
1911,Kauru,161491
1912,Kaura,256810
1913,Kajuru,325416
1914,Chikun,547476
1915,Jaba,229379
1916,Soba,428211
1917,Makarfi,215557
1918,Kaduna South,592272
1919,Sabon Gari,428484
1920,Lere,499636
1921,Igabi,633483
1922,Zaria,598534
1923,Zangon Kataf,469121
2001,Ajingi,262487
2002,Albasu,285341
2003,Bagwai,245642
2004,Bebeji,291843
2005,Bichi,423223
2006,Nassarawa,906959
2007,Bunkure,265310
2008,Danbatta,320067
2009,Dawakin Kudu,342912
2010,Dawakin Tofa,374391
2011,Garko,246302
2012,Garun Mallam,180386
2013,Gaya,315421
2014,Gezawa,429335
2015,Gwale,544146
2016,Dala,636802
2017,Gwarzo,279236
2018,Kabo,232905
2019,Karaye,219048
2020,Kibiya,210795
2021,Kiru,406280
2022,Kano Municipal,564545
2023,Kumbotso,447680
2024,Kunchi,167535
2025,Kura,217602
2026,Madobi,209378
2027,Makoda,334696
2028,Minjibir,333962
2029,Rano,225483
2030,Rimin Gado,157196
2031,Doguwa,229086
2032,Rogo,346120
2033,Shanono,211573
2034,Sumaila,380749
2035,Takai,308152
2036,Tofa,149946
2037,Tsanyawa,239860
2038,Tudun Wada,347720
2039,Ungogo,556174
2040,Tarauni,337356
2041,Fagge,304283
2042,Warawa,200514
2043,Wudil,286863
2044,Gabasawa,321178
2101,Bakori,219884
2102,Batagarawa,278038
2103,Batsari,305708
2104,Baure,298453
2105,Bindawa,222068
2106,Charanchi,201462
2107,Dan-Musa,166462
2108,Dandume,213717
2109,Danja,184538
2110,Daura,330723
2111,Dutsi,177802
2112,Dutsinma,249755
2113,Faskari,285894
2114,Funtua,331123
2115,Ingawa,248755
2116,Jibia,246237
2117,Kafur,307893
2118,Kaita,268251
2119,Kankara,357746
2120,Kankia,222648
2121,Katsina,467857
2122,Kurfi,171623
2123,Kusada,144634
2124,Maiadua,296774
2125,Malumfashi,268967
2126,Mani,259277
2127,Mashi,251582
2128,Matazu,167379
2129,Musawa,250017
2130,Rimi,226613
2131,Sabuwa,206888
2132,Safana,272373
2133,Sandamu,201395
2134,Zango,229497
2201,Alieru,99755
2202,Arewa Dandi,282151
2203,Argungu,297795
2204,Augie,173057
2205,Bagudo,353960
2206,Birnin-Kebbi,399474
2207,Bunza,183733
2208,Suru,220802
2209,Gwandu,224671
2210,Jega,294094
2211,Kalgo,126300
2212,Dandi,217435
2213,Koko/Besse,230234
2214,Fakai,178118
2215,Maiyama,258403
2216,Danko/Wasagu,394495
2217,Sakaba,136412
2218,Shanga,189076
2219,Ngaski,187531
2220,Yauri,149552
2221,Zuru,245877
2301,Omala,159021
2302,Igalamela-Odolu,216580
2303,Ogori/Magongo,58629
2304,Ankpa,392038
2305,Dekina,384370
2306,Ajaokuta,180326
2307,Idah,117468
2308,Yagba East,217454
2309,Ijumu,174670
2310,Kabba/Bunu,212945
2311,Kogi,169526
2312,Koton Karfe,289629
2313,Mopa-Muro,64453
2314,Yagba West,206094
2315,Adavi,319932
2316,Bassa,205739
2317,Ofu,282024
2318,Okehi,329294
2319,Okene,479598
2320,Olamaboro,226071
2321,Ibaji,187897
2401,Asa,183343
2402,Ekiti,80002
2403,Moro,159880
2404,Ilorin South,307731
2405,Oyun,138920
2406,Oke-Ero,83783
2407,Kai Ama,182379
2408,Baruten,303949
2409,Edu,296541
2410,Offa,130850
2411,Ilorin West,537104
2412,Ilorin East,305098
2413,Irepodun,217057
2414,Isin,87474
2415,Pategi,163025
2416,Ifelodun,301442
2501,Agege,694380
2502,Ajeromi/Ifelodun,1033602
2503,Ibeju-Lekki,177138
2504,Alimosho,1984402
2505,Amowo-Odofin,494721
2506,Apapa,335331
2507,Badagry,357506
2508,Epe,273296
2509,Eti-Osa,426771
2510,Ifako/Ijaye,643240
2511,Ikeja,477634
2512,Ikorodu,793892
2513,Kosofe,1026767
2514,Lagos Island,319864
2515,Lagos Mainland,491299
2516,Mushin,950201
2517,Ojo,916089
2518,Oshodi/Isolo,945996
2519,Somolu,606897
2520,Surulere,756217
2601,Akwanga,164569
2602,Awe,166304
2603,Nasarawa,275333
2604,Doma,204408
2605,Karu,317994
2606,Keana,120300
2607,Keffi,136107
2608,Kokona,159648
2609,Lafia,485196
2610,Nasarawa Eggon,218250
2611,Obi,219092
2612,Toto,175081
2613,Wamba,106895
2701,Agaie,203030
2702,Agwara,88143
2703,Mariga,306781
2704,Bida,285191
2705,Edati,245636
2706,Gurara,139678
2707,Rafi,286061
2708,Katcha,185809
2709,Kontagora,233571
2710,Shiroro,362212
2711,Lavun,322421
2712,Lapai,179859
2713,Gbako,194958
2714,Bosso,227680
2715,Mashegu,330752
2716,Chanchaga,310703
2717,Mokwa,373268
2718,Magama,278915
2719,Borgu,268718
2720,Paikoro,243116
2721,Rijau,270815
2722,Muya,159017
2723,Suleja,330563
2724,Tafa,128911
2725,Wushishi,125658
2801,Ogun Waterside,112867
2802,Yewa North,279567
2803,Abeokuta South,380617
2804,Abeokuta North,302300
2805,Ijebu North East,104623
2806,Ifo,819902
2807,Ijebu North,426578
2808,Ijebu Ode,238992
2809,Ikenne,181139
2810,Yewa South,255983
2811,Imeko-Afon,126143
2812,Ipokia,228689
2813,Remo North,90862
2814,Ewekoro,83853
2815,Odedah,166547
2816,Odogbolu,191084
2817,Ijebu East,166240
2818,Ado-Odo/Ota,801766
2819,Obafemi/Owode,357467
2820,Shagamu,389117
2901,Ifedore,258055
2902,Akure South,527120
2903,Ondo East,111333
2904,Ose,210894
2905,Ese-Edo,231548
2906,Ilaje,424072
2907,Akure North,191326
2908,Akoko North East,262501
2909,Ile-Oluji-Okeigbo,251475
2910,Irele,210889
2911,Akoko South East,120625
2912,Akoko South West,334154
2913,Akoko North West,309989
2914,Okitipupa,342575
2915,Ondo West,422652
2916,Odigbo,339866
2917,Idanre,189906
2918,Owo,350717
3001,Isokan,153482
3002,Egbedore,111234
3003,Ola-Oluwa,114632
3004,Ede South,113522
3005,Ejigbo,199279
3006,Aiyedade,224927
3007,Obokun,175722
3008,Ife South,202249
3009,Orolu,154640
3010,Olorunda,197978
3011,Oriade,223134
3012,Irewole,214754
3013,Ila,93318
3014,Ife Central,251447
3015,Aiyedire,114754
3016,Atakumosa East,114449
3017,Ife North,230498
3018,Boripe,208642
3019,Iwo,287755
3020,Ilesha East,160624
3021,Ilesha West,158527
3022,Ede North,126046
3023,Ifedayo,56404
3024,Ife East,283643
3025,Odo-Otin,198622
3026,Irepodun,179843
3027,Osogbo,233854
3028,Atakumosa West,102785
3029,Boluwaduro,106702
3030,Ifelodun,145034
3101,Itesiwaju,195895
3102,Saki East,167548
3103,Ibadan North,509680
3104,Ogo-Oluwa,100259
3105,Ona-Ara,408384
3106,Ogbomosho South,154360
3107,Ibarapa North,154227
3108,Ibadan North West,236858
3109,Egbeda,436172
3110,Ibarapa East,180195
3111,Oluyole,312871
3112,Ido,160060
3113,Olorunsogo,125081
3114,Ibarapa Central,158760
3115,Orelope,159932
3116,Ori Ire,229753
3117,Surulere,215806
3118,Iseyin,393078
3119,Iwajowa,158154
3120,Ibadan North East,473813
3121,Lagelu,227793
3122,Afijio,203265
3123,Irepo,186437
3124,Oyo East,190827
3125,Ibadan South East,409747
3126,Akinyele,325715
3127,Atiba,258721
3128,Oyo West,209837
3129,Kajola,308364
3130,Ibadan South West,435335
3131,Ogbomosho North,305798
3132,Saki West,420220
3133,Atisbo,169100
3201,Jos East,125584
3202,Quan-Pan,280573
3203,Barkin Ladi,255723
3204,Bokkos,255362
3205,Jos South,442871
3206,Kanam,238391
3207,Jos North,621822
3208,Kanke,176737
3209,Langtang North,202407
3210,Langtang South,149578
3211,Mangu,427408
3212,Bassa,269988
3213,Pankshin,270385
3214,Riyom,187419
3215,Shendam,291726
3216,Mikang,137087
3217,Wase,227359
3301,Akukutoru,252350
3302,Obua/Odual,434276
3303,Oyigbo,192728
3304,Ahoada East,255768
3305,Ahoada West,383258
3306,Bonny,330590
3307,Khana,450444
3308,Asaritoru,337980
3309,Degema,383618
3310,Omumma,154370
3311,Eleme,292472
3312,Emohua,309177
3313,Ikwerre,290529
3314,Gonaka,359548
3315,Andoni,335113
3316,Ogu/Bolo,115765
3317,Etche,384346
3318,Okrika,341818
3319,Ogba/Egbema/Ndoni,435638
3320,Opobo/Nkoro,235021
3321,Port Harcourt,823555
3322,Obio/Akpor,710982
3323,Tai,185005
3401,Gudu,140285
3402,Binji,153332
3403,Bodinga,256308
3404,Dange-Shuni,284456
3405,Illela,220768
3406,Tangaza,168906
3407,Goronyo,267802
3408,Gwadabawa,340520
3409,Gada,366226
3410,Isa,220967
3411,Kebbe,181096
3412,Kware,197167
3413,Rabah,219764
3414,Sabon Birni,305080
3415,Sokoto South,290693
3416,Shagari,230729
3417,Silame,153814
3418,Sokoto North,342639
3419,Tambuwal,332206
3420,Tureta,100602
3421,Wamakko,263578
3422,Wurno,238810
3423,Yabo,169549
3501,Kurmi,133921
3502,Bali,309589
3503,Donga,195278
3504,Sardauna,329152
3505,Ibi,123677
3506,Jalingo,205858
3507,Karim Lamidu,284504
3508,Lau,139651
3509,Ussa,133341
3510,Gassol,359562
3511,Gashaka,127879
3512,Ardo Kola,128787
3513,Takum,197434
3514,Wukari,349583
3515,Yorro,131838
3516,Zing,187324
3601,Tarmua,118951
3602,Gulami,153559
3603,Gujba,161504
3604,Fune,470791
3605,Damaturu,152411
3606,Bursari,170610
3607,Fika,215188
3608,Bade,225680
3609,Geidam,240807
3610,Karasuwa,167974
3611,Jakusko,360899
3612,Yunusari,195590
3613,Machina,95436
3614,Nguru,242153
3615,Potiskum,328821
3616,Nangere,137050
3617,Yusufari,172271
3701,Anka,218490
3702,Bakura,281255
3703,Kiyawa,276660
3704,Bukkuyum,325154
3705,Bungudu,388721
3706,Gummi,310684
3707,Gusau,576685
3708,Kaura Namoda,428878
3709,Maradun,311949
3710,Maru,440566
3711,Shinkafi,204706
3712,Talata Mafara,324103
3713,Tsafe,401171
3714,Zurmi,441822
